Hyderabad,Delhi,Kolkata,Chennai
104.041666666667,270.5,243.208333333333,106.5
137.791666666667,149.375,249.208333333333,122.875
142.333333333333,157.791666666667,208.958333333333,124.166666666667
155.958333333333,183.25,176.25,102.916666666667
157.916666666667,246.583333333333,249.416666666667,84.125
142.625,251.875,245.125,98.8333333333333
143.291666666667,180.416666666667,265.708333333333,121.666666666667
95.9166666666667,159.333333333333,153.833333333333,109.083333333333
151.916666666667,167.625,178.416666666667,96.8333333333333
146.5,170.833333333333,202.958333333333,90.75
113.416666666667,175.833333333333,179.041666666667,85.5
97.4583333333333,189.375,190,78.0416666666667
93.875,192.75,178.25,70.5416666666667
81.4166666666667,222.625,204,82.875
86.2916666666667,201.125,215.541666666667,81.0833333333333
101.75,183.291666666667,190,83.6666666666667
45.75,194.708333333333,193.041666666667,85.625
110.583333333333,214.291666666667,253.166666666667,78.9166666666667
100.708333333333,215.083333333333,205.958333333333,96.5416666666667
105.5,240.791666666667,197.666666666667,80.25
116.25,229.166666666667,238.791666666667,80.2083333333333
138.833333333333,242.958333333333,166,94.375
148,173.791666666667,221,121.291666666667
173.791666666667,152.875,215.875,142.666666666667
172.958333333333,162.625,169.666666666667,125.458333333333
157.875,181.083333333333,197.708333333333,90.4583333333333
145.125,226.5,197.291666666667,70.125
108.416666666667,198.458333333333,187.083333333333,97.5833333333333
141.583333333333,183.25,174.791666666667,101.208333333333
130.041666666667,174.791666666667,159.791666666667,77.7083333333333
104.416666666667,123.375,181.333333333333,94.5
89.5833333333333,150.083333333333,208.291666666667,81.4583333333333
86,172.416666666667,191.166666666667,80.9583333333333
98.75,152.333333333333,204.291666666667,84.875
119.041666666667,214.458333333333,193.666666666667,92.4166666666667
140.291666666667,198.333333333333,134.875,96.2083333333333
114.916666666667,175.75,140.583333333333,88.3333333333333
123.791666666667,167.541666666667,176.5,78.75
113.666666666667,148.041666666667,172.5,100.541666666667
115.083333333333,100,189.041666666667,81.875
140.166666666667,165.25,193.958333333333,116.375
135.625,151.791666666667,177.666666666667,129
123.083333333333,152.666666666667,150.208333333333,98.0416666666667
150.75,85.5,116.333333333333,67.125
95.1666666666667,66.9166666666667,116.791666666667,56.25
108,105.833333333333,115.416666666667,58.0833333333333
93.625,139.708333333333,115.5,41.8333333333333
83.8333333333333,129.291666666667,146.708333333333,50.3333333333333
74.5416666666667,163.333333333333,166.75,47.1666666666667
82.0416666666667,140.791666666667,156.625,34.625
82.3333333333333,131.041666666667,156.166666666667,52.5416666666667
79.75,144,157.875,72.4166666666667
94.8333333333333,103.75,123.041666666667,90.5
82.2083333333333,143.083333333333,88.2916666666667,75.25
79.0416666666667,143.458333333333,159.25,69.8333333333333
71.7916666666667,145.25,161.791666666667,73.4583333333333
83,142.583333333333,174.583333333333,79.3333333333333
114.708333333333,164.708333333333,170.125,66.8333333333333
91.375,165.375,116.791666666667,63.375
99.5,150.75,112.291666666667,59.8333333333333
98.4166666666667,149.166666666667,60.7916666666667,80.5416666666667
107.083333333333,123.041666666667,94.2083333333333,70.7083333333333
79.7083333333333,126.125,107.166666666667,55.9583333333333
82.5,91.9166666666667,139.375,56.1666666666667
83.125,108.708333333333,109.958333333333,63.1666666666667
98.5416666666667,82.0833333333333,132.083333333333,68.25
100.291666666667,62.2916666666667,128.291666666667,76.9583333333333
108.291666666667,76.5,113.125,64.7916666666667
